latitude,,longitude
40.44070008,,-79.94208899
40.44069991,,-79.94208875
40.44069977,,-79.94208847
40.44069957,,-79.94208826
40.44069946,,-79.942088
40.44069931,,-79.94208779
40.44069924,,-79.94208756
40.44069913,,-79.94208746
40.44069909,,-79.94208728
40.44069899,,-79.94208715
40.44069888,,-79.94208697
40.44069879,,-79.94208675
40.44069872,,-79.94208657
40.44069866,,-79.94208635
40.44069863,,-79.9420862
40.44069859,,-79.94208605
40.44069858,,-79.94208594
40.44069854,,-79.94208585
40.44069848,,-79.94208571
40.44069838,,-79.94208564
40.44069826,,-79.94208545
40.44069813,,-79.94208539
40.44069799,,-79.94208529
40.4406979,,-79.94208521
40.4406978,,-79.94208501
40.44069773,,-79.94208491
40.44069766,,-79.94208472
40.44069763,,-79.94208462
40.44069758,,-79.94208437
40.44069751,,-79.94208425
40.44069742,,-79.94208405
40.44069732,,-79.94208394
40.4406972,,-79.94208375
40.44069702,,-79.94208365
40.44069681,,-79.94208346
40.44069664,,-79.9420834
40.44069646,,-79.94208322
40.44069636,,-79.94208322
40.4406963,,-79.94208309
40.44069627,,-79.94208305
40.44069619,,-79.94208284
40.44069615,,-79.94208272
40.44069608,,-79.94208249
40.44069602,,-79.94208238
40.44069592,,-79.94208218
40.44069585,,-79.94208209
